id,product_title,cluster
150_right,Laptop Lenovo ThinkBook 14 IML (20SL00MEVN) Core i7  1065G7 8GB 512GB SSD PCIe  Win 10  Full HD IPS  Finger,31
46_right,Laptop HP ProBook 455 G8 (3G0R9PA)  Ryzen5 5600U  8GB  512GB SSD PCIe  Win 10  Full HD IPS  Finger  LED KEY,31
45_right,Laptop HP 240 G8 (342G5PA)   Core i3  1005G1  4GB  256GB SSD PCIe  VGA INTEL  Win 10  Full HD,31
44_right,Laptop Lenovo IdeaPad Slim 5 14ITL05 (82FE00LLVN) Core i5  1135G7  8GB 512GB SSD PCIe  VGA INTEL  Win 10 Full HD IPS Finger,31
217_right,Laptop Dell Vostro 3591 (V5I3308W) Core i3  1005G1  4GB  256GB SSD PCIe,31
122_right,Laptop Acer Aspire A515 56G 51YL (NX.A1LSV.002)  Core i5  1135G7  8GB  512GB SSD PCIe MX350 2GB  Win 10  Full HD IPS,31
130_right,Laptop HP 15s du1055TU (1W7P3PA) Pentium Gold 6405U  4GB  256GB SSD PCIe,31
118_right,Laptop Dell Vostro 3500 (V3500A) Corei5  1135G7  4GB 256GB SSD PCIe MX330  2GB  Win 10 Full HD,31
119_right,Laptop Dell Inspiron 3501 (N3501C) Core i3  1115G4  4GB  256GB SSD PCIe   Win 10  Full HD,31
97_right,Laptop Lenovo Lenovo Thinkpad E15 G2 (20TD0081VA)  Core i7  1165G7  8GB  512GB SSD PCIe   Full HD IPS Finger  LED KEY,31
98_right,Laptop Lenovo Thinkpad E15 G2 (20TD0080VA)  Core i5  1135G7  8GB  512GB SSD PCIe   Full HD IPS  Finger  LED KEY,31
99_right,Laptop Lenovo Thinkpad E15 G2 (20TD007WVA) Core i5  1135G7  8GB  256GB SSD PCIe  Full HD IPS  Finger  LED KEY,31
104_right,Lenovo ThinkBook 14 G2 ITL (20VD004BVN) i5  1135G7  8GB  256GB SSD PCIe   Full HD IPS  Finger,31
105_right,Laptop HP Pavilion 14 dv0009TU (2D7A7PA)  Core i5  1135G7  8GB 512GB SSD PCIe  Win 10  Full HD IPS,31
106_right,Laptop HP Pavilion 14 dv0008TU (2D7A5PA)  Core i5  1135G7  8GB  512GB SSD PCIe   Win 10 Full HD IPS,31
107_right,Laptop Lenovo IdeaPad Slim 5 14ITL05 (82FE00BFVN) Core i5 _ 1135G7  8GB  512GB SSD PCIe   Win 10  Full HD IPS  Win 10  Finger,31
113_right,Laptop Acer Aspire 7 A715 42G R4ST (NH.QAYSV.004) Ryzen 5 5500U 8GB 256GB SSD PCIe GTX1650  4GB Win 10 Full HD IP LED KEY,31
115_right,Laptop HP Pavilion 15 eg0070TU (2L9H3PA)  Core i5  1135G7  8GB  512GB SSD PCIe   Win 10 Full HD IPS,31
116_right,Laptop Dell Vostro 3500 (V3500B)  Core i5  1135G7  8GB  256GB SSD PCIe   MX330  2GB  Win 10  Full HD,31
